"nombre simplificado","nombre_completo"
"Mercedario","Cerro Mercedario"
"Nevado","Cerro Nevado"
"Olivares","Cerro Olivares"
"Sosneado","Cerro Sosneado"
"Tupungato","Cerro Tupungato"
"Chacabuco","Chacabuco"
"Darwin","Charles Robert Darwin"
"Chile","Chile"
"Chubut","Chubut"
"Monet","Claude Monet"
"Castro","Claudio Castro"
"Cochabamba","Cochabamba"
"Oeste","Colectora Norte Acceso Oeste"
"Oeste","Colectora Sur Acceso Oeste"
"Silva","Concejal Santiago Silva"
"Zeppelin","Conde Zeppelin"
"Congreso","Congreso"
"Constancia","Constancia"
"Constitución","Constitución"
"Córdoba","Córdoba"
"Brandsen","Coronel Frederic de Brandsen"
"Moreno","Coronel Julio Moreno"
"Perin","Coronel Perin"
"Pringles","Coronel Pringles"
"Lista","Coronel Ramón Lista"
"Falcón","Coronel Ramón Lorenzo Falcón"
"Corrientes","Corrientes"
"Colón","Cristobal Colón"
"Croacia","Croacia"
"Alta","Cruz Alta"
"Cuba","Cuba"
"Cueli","Cueli"
"Cuevas","Cuevas"
"Curapaligue","Curapaligue"
"D’Onofrio","D’Onofrio"
"Dante","Dante"
"Rocha","Dardo Rocha"
"Magdalena","David Magdalena"
"Anémonas","De las Anémonas"
"Araucarias","De las Araucarias"
"Begonias","De las Begonias"
"Magnolias","De las Magnolias"
"Margaritas","De Las Margaritas"
"Rosas","De las Rosas"
"Tipas","De las Tipas"
"Violetas","De las Violetas"
"Aromos","De los Aromos"
"Ceibos","De los Ceibos"
"Claveles","De los Claveles"
"Geranios","De los Geranios"
"Gladiolos","De los Gladiolos"
"Heliotropos","De los Heliotropos"
"Jacarandaes","De los Jacarandaes"
"jacintos","De los jacintos"
"Junquillos","De los Junquillos"
"Malvones","De los Malvones"
"Nardos","De los Nardos"
"Paraisos","De los Paraisos"
"Pensamientos","De los Pensamientos"
"Plátanos","De los Plátanos"
"Poetas","De los Poetas"
"Robles","De los Robles"
"Kaiser","Del Kaiser"
"Achaval","Diagonal Achaval"
"Landín","Diagonal Intendente Ramón Landín"
"Bentivenga","Diagonal Monseñor Antonio Bentivenga"
"Directorio","Directorio"
"Schweitzer","Doctor Albert Schweitzer"
"Rosa","Doctor Aldo Della Rosa"
"Springolo","Doctor Alfredo Enrique Springolo"
"Palacios","Doctor Alfredo Lorenzo Palacios"
"Sabattini","Doctor Amadeo Sabattini"
"Carbone","Doctor Atilio Carbone"
"Canepa","Doctor Canepa"
"Fleming","Doctor Fleming"
"Cerasso","Doctor Héctor Cerasso"
"Salk","Doctor Jonas Salk"
"Rebizzo","Doctor José Rebizzo"
"Dixon","Doctor Juan Dixon"
"Rosella","Doctor Miguel Rosella"
"Tata","Doctor Wenceslao de Tata"
"Sarmiento","Domingo Faustino Sarmiento"
"Matheu","Domingo Matheu"
"Rosas","Don Juan Manuel de Rosas"
"Sombra","Don Segundo Sombra"
"Comesaña","Eduardo Comesaña"
"Porrini","Eduardo Porrini"
"Andes","Ejercito de los Andes"
"Gaucho","El Gaucho"
"Matadero","El Matadero"
"Ombú","El Ombú"
"Parque","El Parque"
"Payador","El Payador"
"Tala","El Tala"
"Emancipador","Emancipador"
"Manzoni","Emesto Luis Manzoni"
"Castelar","Emilio Castelar"
"Frugone","Emilio Frugone"
"Lampe","Enrique Lampe"
"Nolting","Enrique Manuel Tomás Nolting"
"Larreta","Enrrique Larreta"
"Ríos","Entre Ríos"
"Bazzini","Ernesto Bazzini"
"Sábato","Ernesto Sábato"
"Parodi","Escultor Santiago Parodi"
"España","España"
"Echeverría","Esteban Echeverría"
"Merlo","Esteban Merlo"
"Bellaco","Estero Bellaco"
"Estocolmo","Estocolmo"
"Carriego","Evaristo Carriego"
"Falucho","Falucho"
"Lorca","Federico García Lorca"
"Lacroze","Federico Lacroze"
"Chiclana","Feliciano Chiclana"
"Ballester","Félix Ballester"
"D’Oliveira","Fernandez D’Oliveira"
"Fischetti","Fischetti"
"Varela","Florencio Varela"
"Ameghino","Florentino Ameghino"
"Florida","Florida"
"Formosa","Formosa"
"Lagorio","Francisco Lagorio"
"Vega","Francisco Lope de Vega"
"Madero","Francisco Madero"
"Laprida","Francisco Narciso de Laprida"
"Raffo","Francisco Raffo"
"Sierra","Francisco Sierra"
"Suarez","Francisco Suarez"
"Rodríguez","Fray Cayetano Rodríguez"
"Oro","Fray Justo Santa María de Oro"
"Esquiú","Fray Mamerto Esquiú"
"French","French"
"Ezeiza","Gabino Ezeiza"
"Linares","Gabriel Linares"
"Aires","Gaceta de Buenos Aires"
"Galilei","Galileo Galilei"
"Gascón","Gascón"
"Cruz","Gaucho Cruz"
"O'Higgins","General Bernardo O'Higgins"
"Mosconi","General Enrique Mosconi"
"Lamadrid","General Gregorio Aráoz de Lamadrid"
"Hornos","General Hornos"
"Zapiola","General José Matias Zapiola"
"Lavalle","General Juan Galo Lavalle"
"Heras","General Juan Las Heras"
"Pueyrredón","General Juan Martín de Pueyrredón"
"Roca","General Julio Argentino Roca"
"López","General López"
"Madariaga","General Madariaga"
"Pico","General Pico"
"Villegas","General Villegas"
"Génova","Génova"
"Havilland","Geoffrey de Havilland"
"Wernicke","Germán Wernicke"
"Artigas","Gervasio Artigas"
"Posadas","Gervasio de Posadas"
"Garibaldi","Giuseppe Garibaldi"
"Granaderos","Granaderos"
"Marañón","Gregorio Marañón"
"Gualeguaychú","Gualeguaychú"
"Guaminí","Guaminí"
"Guatemala","Guatemala"
"Spano","Guido Spano"
"Becquer","Gustavo Adolfo Becquer"
"Cortés","Hernán Cortés"
"Magallanes","Hernando de Magallanes"
"Ascasubi","Hilario Ascasubi"
"Bouchard","Hipólito Bouchard"
"Yrigoyen","Hipólito Yrigoyen"
"Holanda","Holanda"
"Honduras","Honduras"
"Zeyen","Hugo Zeyen"
"Iguazú","Iguazú"
"Independencia","Independencia"
"Pereyra","Ingeniero Carlos Pereyra"
"Amoretti","Ingeniero Félix Amoretti"
"Marconi","Ingeniero Guillermo Marconi"
"Larralde","Intendente Guillermo Larralde"
"Italia","Italia"
"Ituzaingó","Ituzaingó"
"Jacarandá","Jacarandá"
"Salguero","Jerónimo Salguero"
"Castellanos","Joaquín Castellanos"
"Spandonari","Joaquín Spandonari"
"Kepler","Johannes Kepler"
"Johansen","Johansen"
"Melían","José Atonio Melían"
"Crotto","José Camilo Crotto"
"Batallán","José E. Batallán"
"Hernández","José Hernández"
"Rucci","José Ignacio Rucci"
"Ingenieros","José Ingenieros"
"Baltar","José Joaquín Baltar"
"Cantilo","José Luis Cantilo"
"Estrada","José Manuel Estrada"
"Bosch","José Maria Bosch"
"Serrano","José María Serrano"
"Marín","José Marín"
"Marmol","José Marmol"
"Morganti","José Morganti"
"Murias","José Murias"
"Gasset","José Ortega y Gasset"
"Alberdi","Juan Bautista Alberdi"
"Anchordoqui","Juan Bautista Anchordoqui"
"Ayolas","Juan de Ayolas"
"Garay","Juan de Garay"
"Solis","Juan Díaz de Solis"
"Ansa","Juan Gómez Ansa"
"Vyetes","Juan Hipolito Vyetes"
"Castelli","Juan José Castelli"
"Paso","Juan José Paso"
"Podesta","Juan José Podesta"
"Viamonte","Juan José Viamonte"
"Larrea","Juan Larrea"
"II","Juan Pablo II"
"Quintas","Juan Ramón Quintas"
"Solari","Juan Solari"
"XXIII","Juan XXIII"
"Zanella","Juan Zanella"
"Azurduy","Juana Azurduy"
"Jujuy","Jujuy"
"Besada","Julio Besada"
"Perdiguero","Julio Perdiguero"
"Pérez","Julio Pérez"
"Urquiza","Justo José de Urquiza"
"Cautiva","La Cautiva"
"Paz","La Paz"
"Rioja","La Rioja"
"Lanzavechia","Lanzavechia"
"Acacias","Las Acacias"
"Camelias","Las Camelias"
"Flores","Las Flores"
"Gaviotas","Las Gaviotas"
"Golondrinas","Las Golondrinas"
"Malvinas","Las Malvinas"
"Alem","Leandro Nicéforo Alem"
"Argentino","Leonismo Argentino"
"Lugones","Leopoldo Lugones"
"Lima","Lima"
"Torre","Lisandro de la Torre"
"Medina","Lisandro Medina"
"Andes","Los Andes"
"Cedros","Los Cedros"
"Nogales","Los Nogales"
"Tilos","Los Tilos"
"Lourdes","Lourdes"
"Loureiro","Loureiro"
"Mansilla","Lucio Victorio Mansilla"
"Agote","Luis Agote"
"Firpo","Luis Ángel Firpo"
